School ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Grade 12 offered [Public School] 2018-19,Grade 13 Offered [Public School] 2018-19,Ungraded offered [Public School] 2018-19,Adult Education Offered [Public School] 2018-19,No Grades Offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Includes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Direct Certification [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
482658006739,ALTERNATIVE LEARNING CENTER,Texas,1-Yes,2-No,2-No,2-No,2-No,52,52,36,–,0,36,37,14.66,3.55
481611012265,ALTERNATIVE LEARNING CTR - WEST,Texas,1-Yes,2-No,2-No,2-No,2-No,0,0,–,–,–,–,0,37.74,0.00
481611008601,ALTERNATIVE LEARNING CTR-EAST,Texas,1-Yes,2-No,2-No,2-No,2-No,0,0,–,–,–,–,0,43.99,0.00
483312007521,ALTERNATIVE MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,56,56,46,–,0,46,†,13,4.31
483312007185,ALTERNATIVE MIDDLE SOUTH,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
484161008092,ALTERNATIVE SCHOOL,Texas,1-Yes,2-No,2-No,2-No,2-No,5,5,†,–,†,†,1,–,†
480945011547,ALTERNATIVE SCHOOL,Texas,2-No,2-No,2-No,2-No,2-No,5,5,†,–,†,†,2,2.63,1.9
484068006790,ALTERNATIVE SCHOOL,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
483714008361,ALTO BONITO EL,Texas,2-No,2-No,2-No,2-No,2-No,557,557,527,–,0,527,†,38.1,14.62
480798000126,ALTO EL,Texas,2-No,2-No,2-No,2-No,2-No,271,271,193,–,0,193,†,22,12.32
